IDs         length   Exptl.  resolution  R-factor FreeRvalue
2IUWA       238      XRAY        1.500    0.14    0.19
1RZHH       260      XRAY        1.800    0.23    0.23
4M03A       210      XRAY        2.240    0.28    0.33
3LY1A       354      XRAY        1.800    0.18    0.21
4YZ6A       195      XRAY        1.950    0.18    0.22
1K7CA       233      XRAY        1.120    0.11    0.13
5AYQA       138      XRAY        1.700    0.20    0.23
1TVGA       153      XRAY        1.600    0.21    0.24
4DWEA       480      XRAY        2.010    0.15    0.19
1F3MA        80      XRAY        2.300    0.24    0.26
5USWA       281      XRAY        1.640    0.17    0.20
5A1IA       395      XRAY        1.090    0.10    0.12
1W0HA       204      XRAY        1.590    0.17    0.20
2B67A       204      XRAY        2.050    0.18    0.25
4WKZA       243      XRAY        1.790    0.18    0.22
3HRPA       409      XRAY        1.700    0.17    0.20
1WY5A       317      XRAY        2.420    0.22    0.25
2J7NA      1022      XRAY        2.300    0.22    0.26
5AWHA       778      XRAY        2.000    0.19    0.23
3ID1A        95      XRAY        1.670    0.20    0.24
1PN2A       280      XRAY        1.950    0.18    0.21
5EYNA       323      XRAY        1.290    0.14    0.17
1RV9A       259      XRAY        1.530    0.20    0.21
3WQBA       600      XRAY        1.410    0.19    0.21
3OV9A       245      XRAY        1.600    0.22    0.25
2PFRA       294      XRAY        1.920    0.21    0.24
5FRDA       260      XRAY        1.400    0.16    0.17
4MNCA       332      XRAY        1.050    0.13    0.14
5UM7A       187      XRAY        1.620    0.25    0.29
4M70B        99      XRAY        2.100    0.25    0.28
3HLKA       446      XRAY        2.100    0.20    0.24
2X6RA       416      XRAY        2.200    0.22    0.26
3U52E       119      XRAY        1.950    0.18    0.23
1V7WA       807      XRAY        1.600    0.16    0.18
4Z5WA       642      XRAY        2.200    0.21    0.26
3IEZA       114      XRAY        1.500    0.21    0.26
2PG4A        95      XRAY        2.210    0.20    0.26
5IBVA       354      XRAY        2.150    0.21    0.25
1ZVPA       133      XRAY        2.200    0.22    0.25
4TWLA       246      XRAY        2.110    0.20    0.27
3B8IA       287      XRAY        1.900    0.20    0.25
3PNNA       303      XRAY        1.900    0.17    0.18
5FCDA       267      XRAY        2.100    0.20    0.22
1INLA       296      XRAY        1.500    0.20    0.21
3B48A       135      XRAY        2.210    0.20    0.25
2NR7A       195      XRAY        1.300    0.16    0.20
4DOLA       217      XRAY        1.700    0.20    0.22
3NTVA       232      XRAY        1.550    0.18    0.20
1M65A       245      XRAY        1.570    0.18    0.21
4AFKA       458      XRAY        1.900    0.17    0.21
4FB2A       398      XRAY        1.370    0.14    0.17
1CKMA       330      XRAY        2.500    0.22    0.30
2JDIG       273      XRAY        1.900    0.18    0.22
3CAIA       406      XRAY        1.800    0.18    0.21
4PTZA       191      XRAY        1.900    0.17    0.21
2REUA       258      XRAY        1.900    0.20    0.24
1MUWA       386      XRAY        0.860    0.13    0.14
4UF0A       478      XRAY        1.780    0.15    0.21
5I7MA       188      XRAY        1.930    0.21    0.25
3ZEUB       337      XRAY        1.650    0.16    0.19
1K92A       455      XRAY        1.600    0.16    0.19
5DRGA       250      XRAY        1.140    0.14    0.17
1FLTX        95      XRAY        1.700    0.20    0.26
1Q7EA       428      XRAY        1.600    0.16    0.19
4NFAA       207      XRAY        2.500    0.19    0.24
4ZLFA       796      XRAY        1.600    0.16    0.18
2PRVA       153      XRAY        1.300    0.14    0.17
5CKLA       188      XRAY        0.990    0.11    0.12
3S4EA       144      XRAY        1.260    0.15    0.18
3KLQA       141      XRAY        1.900    0.16    0.18
5TXUA       354      XRAY        1.950    0.16    0.18
1KAFA       108      XRAY        1.600    0.23    0.26
5FVDA       394      XRAY        1.860    0.17    0.20
2JE6B       250      XRAY        1.600    0.22    0.25
4XOIB       270      XRAY        2.090    0.17    0.21
5NMOA       167      XRAY        1.900    0.19    0.23
5AOTA       106      XRAY        1.020    0.17    0.17
3M4WE        96      XRAY        2.300    0.24    0.27
3C8YA       574      XRAY        1.390    0.14    0.19
2HMAA       376      XRAY        2.410    0.19    0.22
2B9SB        62      XRAY        2.270    0.23    0.28
2OPTA       234      XRAY        2.050    0.20    0.25
3RT2A       183      XRAY        1.500    0.17    0.21
3FBLA        82      XRAY        1.950    0.16    0.20
2WBQA       358      XRAY        1.100    0.14    0.18
2OWAA       138      XRAY        2.000    0.18    0.25
2GF6A       135      XRAY        1.910    0.22    0.26
3KL2A       226      XRAY        2.300    0.19    0.24
5G5CA       275      XRAY        1.180    0.18    0.19
4I9OA       101      XRAY        2.000    0.21    0.23
1XT5A       135      XRAY        1.150    0.13    0.14
4KP3C       103      XRAY        2.410    0.20    0.24
5AWSA       282      XRAY        2.000    0.20    0.24
3H8DE        48      XRAY        2.200    0.19    0.25
4JWOA       341      XRAY        1.600    0.17    0.20
4AFXA       387      XRAY        2.090    0.21    0.25
4IE5A       495      XRAY        1.950    0.18    0.20
1QWDA       177      XRAY        1.750    0.17    0.20
4OD8A       232      XRAY        1.850    0.18    0.22
5FQ2B       105      XRAY        2.200    0.23    0.25
4HQZA       187      XRAY        1.220    0.16    0.18
1ZCCA       248      XRAY        2.500    0.24    0.28
5TISR        41      XRAY        2.250    0.19    0.23
3SB4A       329      XRAY        1.990    0.17    0.20
4HLJA       240      XRAY        1.800    0.19    0.21
1CZYA       168      XRAY        2.000    0.21    0.24
4YBBAT       86      XRAY        2.100    0.22    0.23
4X08A       134      XRAY        1.340    0.18    0.22
3NJCA       158      XRAY        1.690    0.19    0.23
5E75A       519      XRAY        1.360    0.15    0.17
3EVNA       329      XRAY        2.000    0.21    0.28
2FDNA        55      XRAY        0.940    0.10    1.00
2I5IA       263      XRAY        1.700    0.15    0.18
5BOBA       226      XRAY        1.500    0.16    0.19
3DLQI       151      XRAY        1.900    0.20    0.24
4EVXA       106      XRAY        1.700    0.20    0.21
2XSSA       181      XRAY        2.500    0.25    0.32
2NV4A       147      XRAY        2.200    0.20    0.25
2V7SA       215      XRAY        1.960    0.19    0.22
1YHFA       115      XRAY        2.000    0.19    0.25
3FT7A        55      XRAY        2.000    0.18    0.24
4L51A       266      XRAY        1.900    0.17    0.20
5BW0B        94      XRAY        2.000    0.21    0.26
3BQYA       209      XRAY        1.950    0.18    0.21
3IMOA       133      XRAY        1.800    0.20    0.23
5CX8A       481      XRAY        2.400    0.18    0.21
1NYKA       165      XRAY        1.310    0.16    0.21
3DS8A       254      XRAY        1.800    0.17    0.20
3KU3B       174      XRAY        1.600    0.20    0.23
3TQ5A       152      XRAY        1.400    0.18    0.19
5TISY        46      XRAY        2.250    0.19    0.23
2VE3A       444      XRAY        2.100    0.23    0.27
3OU2A       218      XRAY        1.500    0.20    0.22
3QSJA       232      XRAY        1.700    0.18    0.20
2IU1A       208      XRAY        1.800    0.19    0.22
2Z35A       112      XRAY        2.200    0.26    0.28
3F40A       114      XRAY        1.270    0.18    0.20
2IP2A       334      XRAY        1.800    0.20    0.25
4LWRA       196      XRAY        1.100    0.15    0.18
2FREA       200      XRAY        1.900    0.18    0.21
2V03A       303      XRAY        1.330    0.16    0.17
3X1LC       357      XRAY        2.100    0.21    0.25
3DNXA       153      XRAY        1.940    0.17    0.21
1LB6A       160      XRAY        1.800    0.20    0.26
1Y7WA       291      XRAY        1.860    0.19    0.20
4F2LA        61      XRAY        1.500    0.18    0.21
5UOUA       166      XRAY        1.500    0.17    0.20
3PEVB       297      XRAY        2.500    0.20    0.24
1Y9KA       157      XRAY        2.390    0.20    0.23
1FC6A       388      XRAY        1.800    0.17    0.24
5AX6A       492      XRAY        1.880    0.19    0.21
2V57A       190      XRAY        1.900    0.20    0.23
5G3TA       423      XRAY        1.800    0.16    0.19
3HUTA       358      XRAY        1.930    0.20    0.23
3F8XA       148      XRAY        1.550    0.16    0.19
1VHQA       232      XRAY        1.650    0.22    0.26
1VQRA       297      XRAY        2.250    0.20    0.23
3HKLA       197      XRAY        2.100    0.23    0.26
5F22A        88      XRAY        2.150    0.22    0.25
3FGHA        67      XRAY        1.350    0.19    0.21
3TVAA       290      XRAY        2.150    0.17    0.19
3C7AA       404      XRAY        2.100    0.23    0.28
2W7ZA       214      XRAY        1.600    0.19    0.22
5DMYA       904      XRAY        1.950    0.20    0.26
3N6XA       474      XRAY        2.350    0.18    0.20
3DJLA       541      XRAY        1.700    0.16    0.18
3SSBC        40      XRAY        1.800    0.16    0.19
5HMQA       637      XRAY        2.370    0.20    0.23
3GFSA       174      XRAY        2.100    0.19    0.22
1M22A       503      XRAY        1.400    0.18    0.20
2V3SA        96      XRAY        1.700    0.20    0.24
1A7JA       290      XRAY        2.500    0.21    0.28
1XL3C        92      XRAY        2.200    0.20    0.25
5F29A        73      XRAY        1.820    0.22    0.26
3HI2B       101      XRAY        2.000    0.21    0.25
4F54A       197      XRAY        1.600    0.17    0.20
4GUDA       211      XRAY        1.910    0.18    0.21
3CIHA       739      XRAY        2.330    0.20    0.23
1KILE        49      XRAY        2.300    0.29    0.30
2QDQA        50      XRAY        2.200    0.26    0.32
5L02A       728      XRAY        1.900    0.17    0.21
4CVRA       159      XRAY        1.100    0.14    0.17
2IXDA       242      XRAY        1.800    0.18    0.21
5SVIA        48      XRAY        1.610    0.19    0.22
5GZFA       189      XRAY        2.000    0.20    0.22
1K8WA       327      XRAY        1.850    0.18    0.21
4PQZA       167      XRAY        2.300    0.21    0.27
3IV0A       481      XRAY        1.350    0.15    0.17
1BRTA       277      XRAY        1.500    0.14    0.16
2BH1A       250      XRAY        2.400    0.19    0.25
3ZPYA       248      XRAY        1.430    0.16    0.20
4AY7A       348      XRAY        1.800    0.17    0.21
3G23A       274      XRAY        1.890    0.17    0.21
5DJEA       140      XRAY        1.850    0.18    0.22
5ML3B       149      XRAY        1.400    0.19    0.20
1YQHA       109      XRAY        1.700    0.16    0.20
3A4RA        79      XRAY        1.000    0.16    0.18
5LGDB       179      XRAY        2.070    0.21    0.25
2Q9KA       151      XRAY        1.590    0.21    0.25
4FXIA        95      XRAY        1.800    0.19    0.22
3OD1A       400      XRAY        1.970    0.18    0.22
2F2EA       146      XRAY        1.850    0.18    0.25
2Q0YA       153      XRAY        1.800    0.14    0.17
2YNMD       530      XRAY        2.100    0.20    0.23
5BPDA       264      XRAY        2.400    0.24    0.28
1TIGA        94      XRAY        2.000    0.21    0.27
4ZI3C       135      XRAY        2.000    0.19    0.24
3IRPX       429      XRAY        1.500    0.17    0.19
5H4IA        53      XRAY        2.000    0.21    0.24
3KKGA       146      XRAY        1.400    0.18    0.20
2E7JA       371      XRAY        2.400    0.20    0.26
3VI6A       125      XRAY        1.590    0.19    0.22
5I5NA       154      XRAY        1.420    0.18    0.19
5FJDA       122      XRAY        1.500    0.12    0.18
1NTHA       458      XRAY        1.550    0.18    0.19
1H6KA       757      XRAY        2.000    0.20    0.23
2XGVA       142      XRAY        2.000    0.19    0.22
5THSA       389      XRAY        1.900    0.18    0.21
5IXHA       161      XRAY        1.400    0.16    0.18
2P9WA       334      XRAY        1.350    0.14    0.15
2IM9A       333      XRAY        1.670    0.17    0.21
4MAIA       216      XRAY        1.400    0.13    0.15
3A09A       490      XRAY        1.400    0.13    0.21
5K3WA       313      XRAY        2.500    0.17    0.22
5A6SB        80      XRAY        1.900    0.16    0.20
5J9IA       104      XRAY        1.800    0.20    0.24
5GQ1A       214      XRAY        2.490    0.23    0.29
4V08A       244      XRAY        2.030    0.17    0.23
5CE7A       140      XRAY        2.000    0.19    0.24
1NFVA       179      XRAY        1.950    0.21    0.25
3CSWA       285      XRAY        2.150    0.17    0.20
1ZARA       282      XRAY        1.750    0.18    0.22
2NXPA       156      XRAY        2.170    0.21    0.26
2Q01A       497      XRAY        2.340    0.20    0.25
4UE0A       122      XRAY        1.170    0.12    0.15
1HULA       108      XRAY        2.400    0.21    0.37
4QE6A       233      XRAY        1.650    0.20    0.24
1UHVA       500      XRAY        2.100    0.21    0.26
3OAJA       335      XRAY        1.400    0.18    0.23
2I51A       195      XRAY        1.400    0.17    0.19
2AJ6A       159      XRAY        1.630    0.18    0.22
2FJI1       399      XRAY        2.400    0.25    0.28
5L2LA        77      XRAY        1.550    0.13    0.15
3C1QA       123      XRAY        1.700    0.16    0.21
4S1AA       233      XRAY        1.750    0.16    0.20
2F1LA       187      XRAY        2.460    0.18    0.24
4GBJA       297      XRAY        2.050    0.16    0.20
3K7CA       114      XRAY        2.000    0.22    0.26
5AQCA       205      XRAY        1.660    0.19    0.23
3B5OA       244      XRAY        1.350    0.16    0.17
4WMAA       306      XRAY        1.620    0.22    0.24
2IIDA       498      XRAY        1.800    0.17    0.21
1N35A      1267      XRAY        2.500    0.21    0.26
2YOGA       210      XRAY        1.500    0.18    0.23
2GBBA       156      XRAY        2.100    0.21    0.26
5KDOB       340      XRAY        1.900    0.18    0.21
2IVYA       101      XRAY        1.400    0.17    0.19
3E18A       359      XRAY        1.950    0.19    0.24
4ZL8A       192      XRAY        1.400    0.15    0.16
2QIFA        69      XRAY        1.500    0.13    0.17
